Setting,Average_h,Max_h,Min_h,Stdev_h,Final_h,Original_h,New_h,Avg_c,Max_c,Min_c,Stdev_c,Max_a,Min_a,Avg_a,Max_b,Min_b,Avg_b
NoCapEQ25mat5mut,11.9,15,10,1.66332999331662,210969.9,5.9,6.0,1.616,4,1,0.16242605155030462,70,0,21.57022311022311,58,1,29.87581585081585
NoCapEQ30mat1mut,14.4,20,9,3.40587727318528,39566.1,8.6,5.8,1.736,4,1,0.2184389057735722,175,0,47.89721279537456,129,0,34.83825540472599
NoCapEQ30mat2mut,14.0,18,10,2.943920288775949,127892.6,7.3,6.7,1.808,4,1,0.21064978835340267,260,1,32.18368383250736,7,0,37.16790529731706
NoCapEQ30mat3mut,14.1,17,9,2.5582111805799856,219542.1,6.5,7.6,1.716,4,1,0.164870319409596,1,0,30.16320001077354,193,0,41.59216033966034
NoCapEQ30mat4mut,13.6,16,10,1.8973665961010275,294565.7,5.7,7.9,1.648,3,1,0.16631963871480185,69,0,21.189520063270063,40,1,26.12865134865135
NoCapEQ30mat5mut,11.4,14,8,1.7126976771553504,152591.6,4.9,6.5,1.608,3,1,0.1330663994653296,158,0,29.14230352980353,0,1,31.71990675990676
NoCapNoEQ5mat1mut,213.7,241,196,13.433374689762642,108973.1,101.8,111.9,14.708,25,6,1.6626672012829926,4,1,2.515280375866459,4,1,2.484719624133541
NoCapNoEQ5mat2mut,168.1,192,143,16.576087194107863,210350.6,75.2,92.9,8.612,19,3,0.42835084270308654,5,1,2.5043250496004887,6,1,2.4785590858643127
NoCapNoEQ5mat3mut,145.8,156,132,7.871185143010902,328866.7,58.3,87.5,7.62,17,2,0.3583914681524163,4,1,2.4441027965978277,6,1,2.511025968014909
NoCapNoEQ5mat4mut,129.4,144,121,7.834397090892048,441238.8,49.4,80.0,6.96,19,2,0.6127533489640562,10,1,2.520421384841116,3,1,2.439033821401701
NoCapNoEQ5mat5mut,118.7,135,105,8.60297106301719,485734.1,45,73.7,6.436,22,1,0.5047155414466429,6,1,2.392782851493326,9,1,2.5755781436628973
NoCapNoEQ10mat1mut,219.6,243,203,13.721030087667131,112142.0,90.4,129.2,13.368,23,6,0.9079990210469513,4,1,2.499504775317542,4,1,2.500495224682458
